url,price_rub,address,rooms,total_area_m2,floor,floors_total
https://krasnodar.cian.ru/sale/flat/301220914/?context=3.EL5ClDk2Xtk.G-SfAdS8sb0HhG0r_o7Qy7fDwlJHUEV8UrkJt49KcFQ5CS0E7sZxCso0XxxU2Xz8kxjN5qRi-3epRw&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3900000,"Краснодар, Прикубанский",1,37.5,7,14
https://krasnodar.cian.ru/sale/flat/323124839/?context=3.59ZJvSTmHTE.JWI4Akl9WfPUY23oVvKNnmSUIR9GvznV-vl2yxR8hvFzpRVhGkDAYS7eAV-HkYglxy3VbeBeV7CUpQ&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3900000,"Краснодар, Прикубанский",1,38.0,3,16
https://maykop.cian.ru/sale/flat/328341519/?context=3.narL1E7_ogc.HSzZ0yyFbM_sBhBxc4vFTxfCqC6DfmKJOinuBbhTSp2NwCio8_dF-6kkiwBndIsYB6Pi_ESilSXEYA&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3900000,Краснодар,1,40.9,3,3
https://maykop.cian.ru/sale/flat/328070673/?context=3.ThHqqD4y4Os.jdVhvowol4cfT5uIKFJ_ydsYBy2vN7Jei59UvuEuXH6_DMW18VmEKHuRgQY4ulqtDQe_oyKXSvy4TQ&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3900000,Краснодар,1,35.0,3,5
https://maykop.cian.ru/sale/flat/315965168/?context=3.K9HMO2-yjdw.E-mmYsg89SUqBgqmZGMYE-yNYh-xdi4AEWlY3Thvje5BPemShMjcw0lk8kz12gpqw-Fa5yRuHB3A3w&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3900000,Краснодар,1,29.3,7,9
https://krasnodar.cian.ru/sale/flat/326106362/?context=3.SIcMqNDejfw.s4-s_8Q_E9Izl5bdkwHfHIHcQxh3v-afi4pnfkS8IeM-prgdprQZNFOexK3qqiWaY6xeiwBN84aLvQ&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3925000,"Краснодар, Карасунский",0,25.0,2,9
https://maykop.cian.ru/sale/flat/302101645/?context=3.F7XtGLAtxx8.dmwvK5Mjm7r2-J2IMJQJTY91zqU3OkHmVQx04hm8ibG850gVbDu5_0F14-ySjKQfU5Pj71YTpMM6xw&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3941681,Краснодар,1,33.7,4,5
https://krasnodar.cian.ru/sale/flat/301215123/?context=3.bFOqjJL1ZqM.157gDC0Q8A1bkPF71i8CEKbBnFRVZGKH4oG0iATIdfxiVveklMvNSVurbroi_dW9aMJJYK3ecsS9Xw&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3950000,"Краснодар, Прикубанский",1,39.0,4,10
https://krasnodar.cian.ru/sale/flat/327386737/?context=3._hdrXzdYlHY.XPeUqT0IjcwfS2MHTD562xjH0_yGtmmmR8VJrjzZcw1LgALi3jiDuZunUQMP9hDdfIE2BUIC-0ExOw&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,4000000,"Краснодар, Прикубанский",1,44.1,16,24
https://krasnodar.cian.ru/sale/flat/320281244/?context=3.rcMO9lMlC6k.mHuovHXSBowNci01LX7jw-9zQojj5-mSJjyacBGOKc6w2mTaK-3jO0u-HGAjywyFzXgjGDcMLWlUlg&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,4000000,"Краснодар, Прикубанский",1,41.0,3,9
https://krasnodar.cian.ru/sale/flat/327387211/?context=3.yLCMyMH-uL8.IHkdMuKv7d0TVoHKF2tVWrO1l-57zhEx3De8djXIjIoZKNAEZKJU5oG08kLDVt0AxjovRJc7n2waNw&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,4060000,"Краснодар, Прикубанский",1,42.0,12,16
https://krasnodar.cian.ru/sale/flat/325135407/?context=3.haDQF3AJK0M.9xXvM6fAchc04_iq-8eVM3OKB8iPdhf5WTPKGw-o1sOqMKHirrOff0WdLpwKyx3s5GcI97va5TOdtA&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,4150000,"Краснодар, Западный",1,35.2,1,1
https://krasnodar.cian.ru/sale/flat/322578032/?context=3.MBpNuODeOUU.YRy4BjzWmZpGBKbvE3axgPFZdbUy6Gz-vtKgATkpmrN6Ee8z5c7bu6n2eYta15RDVjX4AFCBc4IvNg&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,4200000,"Краснодар, Прикубанский",1,35.9,2,6
https://krasnodar.cian.ru/sale/flat/316792439/?context=3.Wwj-VBfFdPg.b7LlaukbCbJL-TxzixPJZQCDcJrko_fb1PX-mraxXHRD0DiiGI7v06ybonj0yUqkAySesBbpNKjVLw&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,4202000,"Краснодар, Прикубанский",1,38.2,5,5
https://krasnodar.cian.ru/sale/flat/324127708/?context=3.wqhli9d2v4k.sQyvyqNtIeQAQgIn8f-mu5ZTYqTnZyzN1pRzF1FQPIPJTou6kubmiH5P4KkhY15wF5d7Pj8rmXRrjg&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,4230000,"Краснодар, Прикубанский",1,40.8,11,19
https://krasnodar.cian.ru/sale/flat/327689242/?context=3.kQumubPc4-4.A7FAu19N5rwURJW1ZHQh1cNF5I6EAUzAEPJJ8hX498_9E6LUeT6cvBnw1SJYhWui7VelY7CvIryAmw&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,4230000,"Краснодар, Прикубанский",3,63.6,5,5
